t,x(t)
117.0,2.709187895340023
118.0,2.7060985992524356
119.0,2.7030349578040154
120.0,2.7000000000000006
121.0,2.696996609424864
122.0,2.6940275279861723
123.0,2.691095359577674
124.0,2.688202573663338
125.0,2.6853515087840147
126.0,2.682544375988359
127.0,2.6797832621896642
128.0,2.67707013345016
129.0,2.6744068381944026
130.0,2.67179511035325
131.0,2.6692365724399734
132.0,2.6667327385600013
133.0,2.6642850173557373
134.0,2.661894714887948
135.0,2.6595630374550816
136.0,2.6572910943519648
137.0,2.6550799005692207
138.0,2.652930379434766
139.0,2.6508433651987153
140.0,2.6488196055629882
141.0,2.64685976415689
142.0,2.644964422959936
143.0,2.6431340846731457
144.0,2.6413691750400003
145.0,2.6396700451182706
146.0,2.6380369735038594
147.0,2.636470168507822
148.0,2.6349697702876576
149.0,2.6335358529339845
150.0,2.632168426513672
151.0,2.6308674390704794
152.0,2.629632778584239
153.0,2.6284642748895903
154.0,2.627361701555252
155.0,2.6263247777248178
156.0,2.625353169920001
157.0,2.624446493807275
158.0,2.623604315928817
159.0,2.622826155398629
160.0,2.62211148556472
161.0,2.621459735638195
162.0,2.620870292290079
163.0,2.620342501216674
164.0,2.619875668674279
165.0,2.61946906298399
166.0,2.619121916007393
167.0,2.6188334245938267
168.0,2.618602752
169.0,2.6184290292825905
170.0,2.6183113566645657
171.0,2.61824880487586
172.0,2.618240416469057
173.0,2.618285207110724
174.0,2.6183821668489844
175.0,2.618530261357948
176.0,2.6187284331595615
177.0,2.6189756028234488
178.0,2.619270670145286
179.0,2.61961251530424
180.0,2.6199999999999997
181.0,2.6204319685698536
182.0,2.6209072490863528
183.0,2.621424654436002
184.0,2.6219829833794193
185.0,2.622581021593409
186.0,2.62321754269539
187.0,2.6238913092505767
188.0,2.6246010737622685
189.0,2.6253455796456997
190.0,2.6261235621857675
191.0,2.62693374947898
192.0,2.6277748633600013
193.0,2.628645620313107
194.0,2.629544732368839
195.0,2.630470907986166
196.0,2.6314228529204753
197.0,2.6323992710776225
198.0,2.6333988653542977
199.0,2.634420338465002
200.0,2.6354623937558452
201.0,2.636523736005355
202.0,2.6376030722125843
203.0,2.6386991123726657
204.0,2.6398105702400008
205.0,2.640936164079305
206.0,2.642074617404632
207.0,2.64322465970658
208.0,2.644385027167769
209.0,2.6455544633667882
210.0,2.6467317199707048
211.0,2.6479155574162587
212.0,2.6491047455798404
213.0,2.6502980644363956
214.0,2.6514943047072657
215.0,2.652692268497115
216.0,2.653890769920001
217.0,2.655088635714605
218.0,2.656284705848734
219.0,2.6574778341131085
220.0,2.6586668887044844
221.0,2.659850752798115
222.0,2.661028325109609
223.0,2.6621985204461813
224.0,2.6633602702472903
225.0,2.664512523114681
226.0,2.6656542453318193
227.0,2.6667844213727028
228.0,2.6679020544000025
229.0,2.6690061667525726
230.0,2.6700958004222244
231.0,2.6711700175197377
232.0,2.672227900730117
233.0,2.673268553756973
234.0,2.6742911017560203
235.0,2.6752946917575704
236.0,2.676278493078072
237.0,2.67724169772045
238.0,2.678183520763337
239.0,2.679103200739018
240.0,2.680000000000002
241.0,2.6808732050742075
242.0,2.68172212700858
243.0,2.6825461017010728
244.0,2.6833444902209385
245.0,2.684116679117155
246.0,2.684862080714924
247.0,2.6855801334000957
248.0,2.686270301891474
249.0,2.686932077500806
250.0,2.6875649783803777
251.0,2.688168549758112
252.0,2.6887423641599995
253.0,2.689286021619816
