t,x(t)
274.0,2.69332862067381
275.0,2.693165084749016
276.0,2.69297006591966
277.0,2.6927438518746722
278.0,2.6924867585298204
279.0,2.692199129860935
280.0,2.69188133772106
281.0,2.6915337816414415
282.0,2.6911568886162986
283.0,2.690751112871207
284.0,2.6903169356151126
285.0,2.6898548647757914
286.0,2.689365434718787
287.0,2.6888492059496802
288.0,2.688306764799658
289.0,2.6877387230943133
290.0,2.6871457178056484
291.0,2.686528410687192
292.0,2.6858874878922143
293.0,2.6852236595750116
294.0,2.6845376594752026
295.0,2.6838302444850397
296.0,2.6831021941997104
297.0,2.682354310450599
298.0,2.6815874168215563
299.0,2.6808023581481
300.0,2.679999999999654
301.0,2.6791812281447642
302.0,2.6783469479993585
303.0,2.6774980840580764
304.0,2.676635579308718
305.0,2.675760394629845
306.0,2.6748735081716073
307.0,2.6739759147198603
308.0,2.6730686250436566
309.0,2.6721526652261693
310.0,2.671229075979197
311.0,2.670298911941289
312.0,2.6693632409596524
313.0,2.6684231433559553
314.0,2.667479711176147
315.0,2.666534047424445
316.0,2.665587265281656
317.0,2.6646404873079876
318.0,2.66369484463051
319.0,2.662751476115486
320.0,2.661811527525753
321.0,2.6608761506633583
322.0,2.6599465024976823
323.0,2.659023744279271
324.0,2.6581090406396477
325.0,2.657203558677316
326.0,2.6563084670302723
327.0,2.655424934935285
328.0,2.6545541312742262
329.0,2.6536972236077925
330.0,2.6528553771969103
331.0,2.6520297540121676
332.0,2.651221511731634
333.0,2.6504318027274008
334.0,2.6496617730412475
335.0,2.648912561349809
336.0,2.6481852979196403
337.0,2.6474811035526145
338.0,2.646801088522078
339.0,2.646146351500204
340.0,2.645517978477022
341.0,2.6449170416715906
342.0,2.644344598435808
343.0,2.6438016901513732
344.0,2.64328934112043
345.0,2.6428085574504045
346.0,2.642360325933644
347.0,2.641945612922378
348.0,2.6415653631996303
349.0,2.64122049884667
350.0,2.6409119181076295
351.0,2.640640494251937
352.0,2.6404070744352133
353.0,2.6402124785593113
354.0,2.6400574981322027
355.0,2.6399428951284043
356.0,2.639869400850695
357.0,2.639837714793855
358.0,2.639848503511209
359.0,2.6399023994847433
360.0,2.6399999999996178
361.0,2.640141866023886
362.0,2.6403285210942675
363.0,2.640560450208844
364.0,2.6408380987275453
365.0,2.641161871281349
366.0,2.641532130691095
367.0,2.6419491968968702
368.0,2.6424133458989276
369.0,2.6429248087111117
370.0,2.643483770327814
371.0,2.6440903687054607
372.0,2.644744693759603
373.0,2.6454467863786615
374.0,2.6461966374554247
375.0,2.6469941869374076
376.0,2.647839322897211
377.0,2.6487318806240276
378.0,2.649671641737485
379.0,2.650658333325021
380.0,2.6516916271040114
381.0,2.6527711386099093
382.0,2.653896426411651
383.0,2.655066991355635
384.0,2.656282275839586
385.0,2.65754166311764
386.0,2.6588444766380297
387.0,2.6601899794147394
388.0,2.6615773734345627
389.0,2.6630057991009872
390.0,2.6644743347163735
391.0,2.6659819960039215
392.0,2.6675277356709235
393.0,2.6691104430148576
394.0,2.670728943573875
395.0,2.672381998823272
396.0,2.6740683059195676
397.0,2.6757864974938177
398.0,2.677535141495846
399.0,2.6793127410910746
400.0,2.681117734611682
401.0,2.6829484955638345
402.0,2.684803332692762
403.0,2.686680490107485
404.0,2.688578147467026
405.0,2.6904944202299426
406.0,2.692427359969099
407.0,2.694374954753557
408.0,2.6963351295995497
409.0,2.6983057469924954
410.0,2.7002846074820583
411.0,2.702269450352273
412.0,2.7042579543687992
413.0,2.706247738605384
414.0,2.7082363633516504
415.0,2.7102213311043557
416.0,2.71220008764429
417.0,2.714170023201025
418.0,2.716128473707738
419.0,2.71807272214839
420.0,2.719999999999533
421.0,2.721907488769092
422.0,2.7237923216344626
423.0,2.7256515851823213
424.0,2.7274823212525634
425.0,2.729281528888821
426.0,2.731046166398041
427.0,2.732773153521641
428.0,2.7344593737207803
429.0,2.73610167657834
430.0,2.7376968803202075
431.0,2.7392417744585162
432.0,2.7407331225595195
433.0,2.742167665138802
434.0,2.7435421226865744
435.0,2.74485319882583
436.0,2.746097583606168
437.0,2.7472719569361317
438.0,2.7483729921569364
439.0,2.7493973597604997
440.0,2.750341731254723
441.0,2.7512027831789996
442.0,2.751977201272972
443.0,2.7526616848015832
444.0,2.753252951039511
445.0,2.7537477399181083
446.0,2.7541428188379995
447.0,2.7544349876505354
448.0,2.754621083811325
449.0,2.7546979877091196
450.0,2.754662628173337
451.0,2.7545119881635807
452.0,2.7542431106445107
453.0,2.7538531046494894
454.0,2.7533391515364474
455.0,2.752698511439452
456.0,2.7519285299195086
457.0,2.7510266448181464
458.0,2.7499903933173973
459.0,2.748817419209798
460.0,2.7475054803820917
461.0,2.746052456516348
462.0,2.744456357012244
463.0,2.742715329134311
464.0,2.7408276663879585
465.0,2.7387918171281695
466.0,2.7366063934047515
467.0,2.7342701800481075
468.0,2.731782143999513
469.0,2.7291414438899206
470.0,2.726347439871369
471.0,2.7233997037051028
472.0,2.7202980291105483
473.0,2.7170424423793462
474.0,2.7136332132586585
475.0,2.710070866108037
476.0,2.7063561913341565
477.0,2.7024902571077742
478.0,2.6984744213673104
479.0,2.694310344113489
480.0,2.689999999999524
481.0,2.6855456912213693
482.0,2.6809500607126044
483.0,2.6762161056485576
484.0,2.67134719126433
485.0,2.6663470649914034
486.0,2.661219870917578
487.0,2.65597016457502
488.0,2.6506029280612466
489.0,2.645123585497911
490.0,2.6395380188323134
491.0,2.6338525839865823
492.0,2.6280741273595387
493.0,2.622210002686287
494.0,2.6162680882606226
495.0,2.6102568045253944
496.0,2.604185132036008
497.0,2.598062629802291
498.0,2.591899454013999
499.0,2.58570637715528
500.0,2.5794948075134587
501.0,2.57327680908756
502.0,2.567065121902022
503.0,2.5608731827311053
504.0,2.5547151462395523
505.0,2.5486059065450926
506.0,2.5425611192084387
507.0,2.536597223656467
508.0,2.5307314660443234
509.0,2.5249819225622425
510.0,2.5193675231929156
511.0,2.5139080759252903
512.0,2.5086242914307397
513.0,2.503537808207573
514.0,2.498671218199928
515.0,2.4940480928971174
516.0,2.4896930099195558
517.0,2.485631580097453
518.0,2.481890475048487
519.0,2.478497455260749
520.0,2.4754813986872715
521.0,2.472872329858527
522.0,2.4707014495193156
523.0,2.4690011647965298
524.0,2.4678051199043076
525.0,2.4671482273931713
526.0,2.467066699949766
527.0,2.4675980827538884
528.0,2.468781286399536
529.0,2.470656620386756
530.0,2.473265827191139
531.0,2.476652116917835
532.0,2.480860202547041
533.0,2.4859363357779465
534.0,2.491928343478183
535.0,2.498885664745878
536.0,2.506859388591465
537.0,2.5159022922464462
538.0,2.526068880106375
539.0,2.5374154233153607
540.0,2.549999999999472
