t,x(t)
131.0,2.6395225079781044
132.0,2.635519254162042
133.0,2.631743685387293
134.0,2.628190855894
135.0,2.624855819922309
136.0,2.621733631712363
137.0,2.6188193455043094
138.0,2.6161080155382908
139.0,2.6135946960544527
140.0,2.61127444129294
141.0,2.6091423054938954
142.0,2.6071933428974665
143.0,2.6054226077437965
144.0,2.60382515427303
145.0,2.6023960367253123
146.0,2.601130309340787
147.0,2.600023026359601
148.0,2.5990692420218964
149.0,2.5982640105678194
150.0,2.5976023862375137
151.0,2.5970794232711256
152.0,2.5966901759087984
153.0,2.596429698390677
154.0,2.5962930449569073
155.0,2.5962752698476317
156.0,2.596371427302997
157.0,2.596576571563147
158.0,2.596885756868226
159.0,2.5972940374583797
160.0,2.597796467573752
161.0,2.5983881014544883
162.0,2.599063993340733
163.0,2.59981919747263
164.0,2.6006487680903247
165.0,2.601547759433962
166.0,2.6025112257436867
167.0,2.6035342212596433
168.0,2.604611800221976
169.0,2.6057390168708294
170.0,2.606910925446349
171.0,2.6081225801886796
172.0,2.609369035337965
173.0,2.61064534513435
174.0,2.61194656381798
175.0,2.6132677456289994
176.0,2.614603944807553
177.0,2.6159502155937844
178.0,2.6173016122278403
179.0,2.6186531889498634
180.0,2.62
181.0,2.6213379096237377
182.0,2.6226660220879405
183.0,2.6239842516648166
184.0,2.6252925126265745
185.0,2.6265907192454203
186.0,2.627878785793563
187.0,2.62915662654321
188.0,2.630424155766569
189.0,2.631681287735849
190.0,2.632927936723257
191.0,2.6341640170010003
192.0,2.6353894428412876
193.0,2.636604128516326
194.0,2.637807988298324
195.0,2.6390009364594893
196.0,2.6401828872720294
197.0,2.6413537550081534
198.0,2.642513453940067
199.0,2.6436618983399787
200.0,2.644799002480098
201.0,2.64592468063263
202.0,2.647038847069785
203.0,2.6481414160637704
204.0,2.649232301886793
205.0,2.650311418811061
206.0,2.651378681108782
207.0,2.6524340030521643
208.0,2.6534772989134154
209.0,2.654508482964744
210.0,2.6555274694783577
211.0,2.656534172726463
212.0,2.6575285069812695
213.0,2.6585103865149837
214.0,2.6594797255998137
215.0,2.660436438507968
216.0,2.661380439511654
217.0,2.662311642883079
218.0,2.663229962894452
219.0,2.66413531381798
220.0,2.665027609925871
221.0,2.665906765490333
222.0,2.6667726947835737
223.0,2.6676253120778015
224.0,2.668464531645223
225.0,2.6692902677580466
226.0,2.6701024346884807
227.0,2.670900946708733
228.0,2.6716857180910103
